frame.time_epoch	frame.len	eth.src	eth.dst	vlan.id	ip.src	ip.dst	ip.proto	ip.id	tcp.srcport	tcp.dstport	udp.srcport	udp.dstport
1748274859.297713	920	00:11:22:33:02:08	00:11:22:33:01:07	10	10.0.1.254	10.0.1.2	17	38158			63594.0	72.0
1748274859.873725	181	00:11:22:33:02:09	00:11:22:33:06:04	10	10.0.1.254	10.0.2.1	17	16850			63702.0	331.0
1748274860.449736	147	00:11:22:33:08:03	00:11:22:33:08:09	20	10.0.2.1	10.0.2.4	17	60788			45155.0	872.0
1748274861.025748	190	00:11:22:33:03:05	00:11:22:33:00:00	10	10.0.2.4	10.0.2.3	6	1685	1793.0	344.0		
1748274861.601759	1497	00:11:22:33:01:09	00:11:22:33:02:07	20	10.0.1.2	10.0.1.1	6	56101	3457.0	192.0		
1748274862.177771	1015	00:11:22:33:01:02	00:11:22:33:04:05	20	10.0.2.254	10.0.2.2	1	39188				
1748274862.753782	1244	00:11:22:33:09:03	00:11:22:33:05:08	10	10.0.2.4	10.0.2.1	17	53707			20793.0	22.0
1748274863.329794	312	00:11:22:33:03:07	00:11:22:33:08:00	20	10.0.2.254	10.0.2.1	17	62187			28504.0	561.0
1748274863.905805	534	00:11:22:33:00:08	00:11:22:33:00:05	10	10.0.2.2	10.0.2.1	1	25658				
1748274864.481817	570	00:11:22:33:01:02	00:11:22:33:04:08	20	10.0.2.5	10.0.2.254	6	57001	19455.0	476.0		
1748274865.057828	759	00:11:22:33:02:00	00:11:22:33:04:07	20	10.0.2.1	10.0.2.254	6	58319	60174.0	190.0		
1748274865.63384	1017	00:11:22:33:08:09	00:11:22:33:08:07	10	10.0.2.254	10.0.1.3	17	19118			36797.0	563.0
1748274866.209851	1327	00:11:22:33:09:03	00:11:22:33:03:01	10	10.0.2.5	10.0.2.4	6	31551	51704.0	131.0		
1748274866.785863	706	00:11:22:33:08:01	00:11:22:33:08:08	10	10.0.2.3	10.0.2.1	1	30740				
1748274867.361874	900	00:11:22:33:00:04	00:11:22:33:04:00	20	10.0.2.2	10.0.2.1	1	14502				
1748274867.937886	1357	00:11:22:33:07:02	00:11:22:33:09:01	20	10.0.2.1	10.0.2.254	6	10627	9816.0	316.0		
1748274868.513897	301	00:11:22:33:01:07	00:11:22:33:03:01	20	10.0.2.254	10.0.2.4	17	43001			12040.0	346.0
1748274869.089909	624	00:11:22:33:05:01	00:11:22:33:04:06	10	10.0.1.3	10.0.1.254	1	56193				
1748274869.66592	1423	00:11:22:33:09:06	00:11:22:33:00:06	10	10.0.1.3	10.0.1.2	17	55387			55662.0	956.0
1748274870.241932	835	00:11:22:33:07:06	00:11:22:33:05:09	20	10.0.1.254	10.0.1.1	17	44974			42018.0	206.0
1748274870.817943	1164	00:11:22:33:09:02	00:11:22:33:01:04	20	10.0.2.3	10.0.2.1	6	26531	2609.0	872.0		
1748274871.393955	1471	00:11:22:33:05:05	00:11:22:33:02:00	20	10.0.1.1	10.0.1.3	17	19457			2045.0	390.0
1748274871.969966	625	00:11:22:33:09:07	00:11:22:33:02:02	10	10.0.2.2	10.0.2.254	17	13417			54019.0	822.0
1748274872.545978	762	00:11:22:33:07:07	00:11:22:33:02:05	10	10.0.2.3	10.0.2.2	17	63889			7897.0	556.0
1748274873.121989	221	00:11:22:33:09:09	00:11:22:33:06:07	10	10.0.2.254	10.0.2.3	6	37065	27581.0	996.0		
1748274873.698001	875	00:11:22:33:00:07	00:11:22:33:03:00	10	10.0.1.2	10.0.1.254	1	11534				
1748274874.274013	515	00:11:22:33:09:07	00:11:22:33:06:08	10	10.0.1.3	10.0.1.254	17	40397			62166.0	252.0
1748274874.850024	1076	00:11:22:33:02:01	00:11:22:33:03:03	20	10.0.2.1	10.0.2.5	17	24253			56615.0	725.0
1748274875.426036	779	00:11:22:33:08:08	00:11:22:33:02:05	20	10.0.2.4	10.0.2.254	17	24300			9553.0	879.0
1748274876.002047	851	00:11:22:33:02:08	00:11:22:33:00:08	20	10.0.1.1	10.0.1.2	17	12185			64728.0	764.0
1748274876.578059	247	00:11:22:33:02:08	00:11:22:33:00:00	10	10.0.1.1	10.0.1.2	1	8571				
1748274877.15407	552	00:11:22:33:00:04	00:11:22:33:04:02	10	10.0.1.254	10.0.2.1	6	39976	39068.0	15.0		
1748274877.730082	124	00:11:22:33:08:05	00:11:22:33:06:02	10	10.0.1.254	10.0.1.3	17	48984			41798.0	521.0
1748274878.306093	1427	00:11:22:33:07:03	00:11:22:33:07:03	20	10.0.2.1	10.0.2.4	6	62592	3051.0	648.0		
1748274878.882105	1146	00:11:22:33:02:04	00:11:22:33:01:02	10	10.0.2.4	10.0.2.3	6	5258	23026.0	593.0		
1748274879.458116	451	00:11:22:33:05:02	00:11:22:33:05:09	10	10.0.1.2	10.0.1.1	6	13986	62882.0	289.0		
1748274880.034128	438	00:11:22:33:09:03	00:11:22:33:04:03	10	10.0.2.1	10.0.2.2	1	38660				
1748274880.610139	290	00:11:22:33:06:08	00:11:22:33:05:07	10	10.0.2.4	10.0.2.2	6	64505	39976.0	28.0		
1748274881.186151	839	00:11:22:33:02:01	00:11:22:33:05:02	20	10.0.2.5	10.0.2.2	6	48033	53280.0	48.0		
1748274881.762162	562	00:11:22:33:00:07	00:11:22:33:02:01	20	10.0.1.1	10.0.1.254	6	35222	12861.0	728.0		
1748274882.338174	864	00:11:22:33:05:08	00:11:22:33:03:06	20	10.0.1.254	10.0.2.5	1	30818				
1748274882.914185	785	00:11:22:33:09:05	00:11:22:33:04:00	10	10.0.1.1	10.0.1.254	17	24538			43554.0	961.0
1748274883.490197	672	00:11:22:33:06:07	00:11:22:33:02:00	10	10.0.1.254	10.0.1.2	1	8110				
1748274884.066208	702	00:11:22:33:00:08	00:11:22:33:07:06	10	10.0.2.1	10.0.2.4	1	52992				
1748274884.64222	1088	00:11:22:33:07:02	00:11:22:33:03:01	10	10.0.2.254	10.0.1.2	6	56537	34294.0	767.0		
